Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,Own%,Date,KO time,Season start price,Season end price
Cambiasso,45,0,0,0,0,0,0,0,0,0,0,0,2,3,1,LEI,1 - 3,MUN,Away,23,MID,36,Extremely difficult,592,0.3%,31/01/2015,15:00,5.0,4.8
Nugent,29,0,0,0,0,0,0,0,0,0,0,0,1,3,1,LEI,1 - 3,MUN,Away,23,FWD,36,Extremely difficult,195,0.4%,31/01/2015,15:00,5.5,4.9
Vardy,45,0,0,0,3,0,0,0,0,0,0,0,1,5,1,LEI,1 - 3,MUN,Away,23,FWD,36,Extremely difficult,196,0.8%,31/01/2015,15:00,5.0,4.6
Ulloa,61,0,0,0,3,0,0,0,0,0,0,0,2,1,2,LEI,1 - 3,MUN,Away,23,FWD,36,Extremely difficult,532,5.7%,31/01/2015,15:00,5.5,5.0
Kramaric,61,0,0,0,3,0,0,0,0,0,0,0,-2,0,2,LEI,1 - 3,MUN,Away,23,FWD,36,Extremely difficult,663,0.1%,31/01/2015,15:00,4.5,5.0
Green,90,0,0,0,3,0,0,0,0,0,0,0,2,6,1,QPR,1 - 3,STK,Away,23,GKP,19,Difficult,318,2.6%,31/01/2015,15:00,4.5,4.5
Dunne,90,0,0,0,3,0,0,0,0,0,0,0,-1,12,1,QPR,1 - 3,STK,Away,23,DEF,19,Difficult,320,0.2%,31/01/2015,15:00,4.5,4.2
Hill,74,0,0,0,2,0,0,0,0,0,0,0,2,7,1,QPR,1 - 3,STK,Away,23,DEF,19,Difficult,321,0.1%,31/01/2015,15:00,4.5,4.2
Onuoha,90,0,0,0,3,0,0,0,0,0,0,0,8,12,1,QPR,1 - 3,STK,Away,23,DEF,19,Difficult,322,0.1%,31/01/2015,15:00,4.5,4.3
Yun,16,0,0,0,1,0,0,0,0,0,0,0,1,3,1,QPR,1 - 3,STK,Away,23,DEF,19,Difficult,323,1.5%,31/01/2015,15:00,4.0,3.9
Isla,90,0,0,0,3,0,0,0,1,0,0,0,5,7,0,QPR,1 - 3,STK,Away,23,DEF,19,Difficult,557,0.4%,31/01/2015,15:00,5.0,4.6
Henry,45,0,0,0,2,0,0,0,0,0,0,0,2,2,1,QPR,1 - 3,STK,Away,23,MID,19,Difficult,327,0.2%,31/01/2015,15:00,4.5,4.4
Barton,90,0,0,0,3,0,0,0,1,0,0,0,9,8,1,QPR,1 - 3,STK,Away,23,MID,19,Difficult,328,0.2%,31/01/2015,15:00,5.0,4.8
Hoilett,23,0,0,0,1,0,0,0,0,0,0,0,-2,0,1,QPR,1 - 3,STK,Away,23,MID,19,Difficult,331,0.2%,31/01/2015,15:00,5.0,4.3
